session_id,timestamp,path,delta_t,label,page_category,referrer,user_agent,status_code,client_key,ip,method,body_bytes_sent
sess_8ff89f2c3e59_000,0.0,/,0.0,bot,home,/,python-requests/2.x,200,ip_ua:203.0.113.100|python-requests/2.x,203.0.113.100,GET,512
sess_8ff89f2c3e59_000,0.0,/blog,0.0,bot,blog,/,python-requests/2.x,200,ip_ua:203.0.113.100|python-requests/2.x,203.0.113.100,GET,512
sess_8ff89f2c3e59_000,1.0,/blog/post-1,1.0,bot,blog,/blog,python-requests/2.x,200,ip_ua:203.0.113.100|python-requests/2.x,203.0.113.100,GET,512
sess_8ff89f2c3e59_000,1.0,/blog/post-2,0.0,bot,blog,/blog/post-1,python-requests/2.x,200,ip_ua:203.0.113.100|python-requests/2.x,203.0.113.100,GET,512
sess_8ff89f2c3e59_000,1.0,/blog/post-3,0.0,bot,blog,/blog/post-2,python-requests/2.x,200,ip_ua:203.0.113.100|python-requests/2.x,203.0.113.100,GET,512
sess_8ff89f2c3e59_000,2.0,/blog/post-4,1.0,bot,blog,/blog/post-3,python-requests/2.x,200,ip_ua:203.0.113.100|python-requests/2.x,203.0.113.100,GET,512
sess_8ff89f2c3e59_000,2.0,/blog/post-5,0.0,bot,blog,/blog/post-4,python-requests/2.x,200,ip_ua:203.0.113.100|python-requests/2.x,203.0.113.100,GET,512
sess_8ff89f2c3e59_000,2.0,/blog/post-6,0.0,bot,blog,/blog/post-5,python-requests/2.x,200,ip_ua:203.0.113.100|python-requests/2.x,203.0.113.100,GET,512
sess_1d1d7c3ae8dd_000,1.0,/,0.0,bot,home,/,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,2.0,/products,1.0,bot,products,/,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,4.0,/products/category-1,2.0,bot,products,/products,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,5.0,/products/category-1/item-1,1.0,bot,products,/products/category-1,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,7.0,/support/contact,2.0,bot,support,/support/faq-3,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,7.0,/support/faq-3,0.0,bot,support,/products/category-1/item-1,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,8.0,/blog,1.0,bot,blog,/,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,10.0,/blog/post-1,2.0,bot,blog,/blog,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,11.0,/blog/post-2,1.0,bot,blog,/blog/post-1,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,12.0,/blog/post-3,1.0,bot,blog,/blog/post-2,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,13.0,/blog/post-4,1.0,bot,blog,/blog/post-3,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,14.0,/blog/post-5,1.0,bot,blog,/blog/post-4,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,16.0,/blog/post-6,2.0,bot,blog,/blog/post-5,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,17.0,/blog/post-7,1.0,bot,blog,/blog/post-6,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,19.0,/blog/post-8,2.0,bot,blog,/blog/post-7,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_1d1d7c3ae8dd_000,20.0,/blog/post-9,1.0,bot,blog,/blog/post-8,stealth-browser/1.0,200,ip_ua:203.0.113.101|stealth-browser/1.0,203.0.113.101,GET,512
sess_45fd4ca3b161_000,1.0,/,0.0,bot,home,/,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,2.0,/products,1.0,bot,products,/,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,4.0,/products/category-1,2.0,bot,products,/products,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,5.0,/products/category-1/item-1,1.0,bot,products,/products/category-1,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,6.0,/support/faq-3,1.0,bot,support,/products/category-1/item-1,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,7.0,/support/contact,1.0,bot,support,/support/faq-3,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,9.0,/blog,2.0,bot,blog,/,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,10.0,/blog/post-1,1.0,bot,blog,/blog,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,11.0,/blog/post-2,1.0,bot,blog,/blog/post-1,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,13.0,/blog/post-3,2.0,bot,blog,/blog/post-2,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,14.0,/blog/post-4,1.0,bot,blog,/blog/post-3,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,16.0,/blog/post-5,2.0,bot,blog,/blog/post-4,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,17.0,/blog/post-6,1.0,bot,blog,/blog/post-5,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,18.0,/blog/post-7,1.0,bot,blog,/blog/post-6,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
sess_45fd4ca3b161_000,19.0,/products/category-2,1.0,bot,products,/blog/post-7,stealth-browser/1.0,200,ip_ua:203.0.113.102|stealth-browser/1.0,203.0.113.102,GET,512
